OC0103,1,Cook Islands tropical moist forests
OC0104,1,Eastern Micronesia tropical moist forests
OC0105,1,Fiji tropical moist forests
OC0106,1,Hawaii tropical moist forests
OC0107,1,Kermadec Islands subtropical moist forests
OC0108,1,Marquesas tropical moist forests
OC0109,1,Ogasawara subtropical moist forests
OC0110,1,Palau tropical moist forests
OC0111,1,Rapa Nui and Sala-y-Gomez subtropical broadleaf forests
OC0112,1,Samoan tropical moist forests
OC0113,1,Society Islands tropical moist forests
OC0114,1,Tongan tropical moist forests
OC0115,1,Tuamotu tropical moist forests
OC0116,1,Tubuai tropical moist forests
OC0117,1,Western Polynesian tropical moist forests 
OC0201,2,Fiji tropical dry forests
OC0202,2,Hawaii tropical dry forests
OC0203,2,Marianas tropical dry forests
OC0204,2,Yap tropical dry forests 
OC0701,7,Hawaii tropical high shrublands
OC0702,7,Hawaii tropical low shrublands
OC0703,7,Northwestern Hawaii scrub 
PA0101,1,Gizhou Plateau broadleaf and mixed forests
PA0102,1,Yunnan Plateau subtropical evergreen forests 
PA0401,4,Apennine deciduous montane forests
PA0402,4,Atlantic mixed forests
PA0403,4,Azores temperate mixed forests
PA0404,4,Balkan mixed forests
PA0405,4,Baltic mixed forests
PA0406,4,Cantabrian mixed forests
PA0407,4,Caspian Hyrcanian mixed forests
PA0408,4,Caucasus mixed forests
PA0409,4,Celtic broadleaf forests
PA0410,4,Central Anatolian deciduous forests
PA0411,4,Central China loess plateau mixed forests
PA0412,4,Central European mixed forests
